order_id,line_no,import_readiness,item_source,raw_item_text,item_label,item_type,rental_bundle_external_key,rental_item_sku,qty,duration_days,price_per_day_idr,line_total_idr,price_basis,line_blocker,mapping_note
ORD-001,1,auto_import_candidate,daftar_pesanan,Kasur 90x200,Kasur 90x200,mattress_only,,RGE-90-BIRU,1,2,20000.0,40000,sheet_item_subtotal_direct,,
ORD-002,1,auto_import_candidate,daftar_pesanan,Paket 90x200,Paket 90x200,package,PKG-SINGLE-90,,1,4,35000.0,140000,sheet_item_subtotal_direct,,
ORD-003,1,needs_review_line_detail,daftar_pesanan,Paket 160x200,Paket 160x200,package,PKG-QUEEN-160,,1,1,156316.0,156316,sheet_item_subtotal_allocated_by_base_rate,;manual_split_from_daftar_only,
ORD-003,2,needs_review_line_detail,daftar_pesanan,Paket 100x200,Paket 100x200,package,PKG-SINGLE-100,,1,1,113684.0,113684,sheet_item_subtotal_allocated_by_base_rate,;manual_split_from_daftar_only,
ORD-004,1,needs_review_line_detail,daftar_pesanan,Paket 120x200,Paket 120x200,package,PKG-DOUBLE-120,,1,1,139500.0,139500,sheet_item_subtotal_allocated_by_base_rate,;manual_split_from_daftar_only,
ORD-004,2,needs_review_line_detail,daftar_pesanan,Paket 160x200,Paket 160x200,package,PKG-QUEEN-160,,1,1,170500.0,170500,sheet_item_subtotal_allocated_by_base_rate,;manual_split_from_daftar_only,
ORD-005,1,auto_import_candidate,main_pengiriman,PAKET Queen 160 → 2 pcs,PAKET Queen 160,package,PKG-QUEEN-160,,2,4,59000.0,472000,sheet_item_subtotal_direct,,
ORD-006,1,needs_review_line_detail,daftar_pesanan,Paket 160x200,Paket 160x200,package,PKG-QUEEN-160,,1,1,70081.0,70081,sheet_item_subtotal_allocated_by_base_rate,;manual_split_from_daftar_only,
ORD-006,2,needs_review_line_detail,daftar_pesanan,Ekstra Guling,Ekstra Guling,addon_stock,,GULING-COMFY,1,1,8919.0,8919,sheet_item_subtotal_allocated_by_base_rate,;manual_split_from_daftar_only,
ORD-007,1,auto_import_candidate,daftar_pesanan,Paket 120x200,Paket 120x200,package,PKG-DOUBLE-120,,1,2,45000.0,90000,sheet_item_subtotal_direct,,
ORD-009,1,auto_import_candidate,main_pengiriman,PAKET Single 90 (sprei + bantal) → 1 pcs,PAKET Single 90 (sprei + bantal),package,PKG-SINGLE-90,,1,1,39000.0,39000,sheet_item_subtotal_direct,,
ORD-010,1,auto_import_candidate,main_pengiriman,PAKET Queen 160 → 1 pcs,PAKET Queen 160,package,PKG-QUEEN-160,,1,6,59631.5,357789,sheet_item_subtotal_allocated_by_base_rate,,
ORD-010,2,auto_import_candidate,main_pengiriman,PAKET Single 100 → 1 pcs,PAKET Single 100,package,PKG-SINGLE-100,,1,6,43368.5,260211,sheet_item_subtotal_allocated_by_base_rate,,
ORD-011,1,needs_review_source_conflict,main_pengiriman,PAKET Queen 160 → 2 pcs,PAKET Queen 160,package,PKG-QUEEN-160,,2,6,53926.83,647122,sheet_item_subtotal_allocated_by_base_rate,,
ORD-011,2,needs_review_source_conflict,main_pengiriman,PAKET Single 100 → 1 pcs,PAKET Single 100,package,PKG-SINGLE-100,,1,6,39219.5,235317,sheet_item_subtotal_allocated_by_base_rate,,
