payment_event_id,purchase_refs,date_or_range,amount_idr,channel,status,evidence,notes
CAPITAL-001,P001;P002;P003;BG003,2026-02-27,1590000,owner contribution via Santi Mebel salary offset,confirmed,Fajar msg 93190 Talenta loan detail; Fajar msg 49245/49252,First salary offset is treated in Santi Living as Doni capital contribution.
CAPITAL-002,P001;P002;P003;BG003,2026-03-27,1590000,owner contribution via Santi Mebel salary offset,confirmed,Fajar msg 93190 Talenta loan detail,Second salary offset is treated in Santi Living as Doni capital contribution.
CAPITAL-003,P001;P002;P003;BG003,2026-04-20..2026-05-15,1590000,owner contribution via Santi Mebel salary offset,balance_derived,Derived from Fajar balance: 9.553.331 - 1.590.000 - 1.590.000 - 4.783.331 = 1.590.000,"No standalone payroll slip found. Search found Apr 28 payroll aggregate and May 2 Dhoni salary adjustment, but no local attachment proving this exact salary offset."
BANK-PAYOFF-004,P001;P002;P003;BG003,2026-05-15 13:14 WIB,4783331,manual transfer from Santi Living operating income via Jago to BCA Ika Hendrasanti,confirmed,Fajar msg 122654 balance; transfer receipt msg 122773,Receipt note: pelunasan utang dhoni.
CASH-P004,P004,2026-03-19,2874896,cash/lunas evidence,confirmed,msgs 68526-68749; Sales-Invoice-62205-thumb.jpg,Marked lunas in available evidence.
CASH-BG005,BG005,2026-03-23,114400,transfer/Jurnal,confirmed,Kiriman bukti transfer msg 72405,Bantal Royal King 4.
CASH-P005,P005,2026-04-03,1134000,transfer/Jurnal,confirmed,Kiriman bukti transfer msg 80480; Sales-Invoice-63002-thumb.jpg,Grand 90 2 unit.
CASH-P006,P006,2026-04-19 07:57 WIB,1616000,manual transfer Jago to BCA Ika Hendrasanti,confirmed,Sales Olshop msg 92508; transfer ID 260419SYATIDJ100005822; jago_transfer_p006_msg_92508.jpg,"Pays P006: RGE 90 1, RGE 100 1, Springback 3; receipt note says kasur 2 bantal 3."
CASH-BG007,BG007,2026-05-08,400000,transfer/Jurnal,confirmed,Kiriman bukti transfer msgs 112171 and 113039,Bantal Springback 8.
CASH-P007,P007,2026-05-14,793000,transfer/Jurnal,confirmed,Kiriman bukti transfer msg 122036; bank mutation msg 122503; Sales-Invoice-65396-whatsapp.pdf,Grand exclusive 100.
