invoice_ref,action,order_id,order_number,total_amount,status,message
SL-INV-028,created,46daf6f8-3064-481d-8cae-1f6bd6ff5f5e,RNT-202605-00001,210000,DRAFT,Created via sync-erp MCP
SL-INV-026,created,a82ceb9a-0eb0-4d23-a7c1-d010dfedc854,RNT-202605-00002,1134000,DRAFT,Created via sync-erp MCP
SL-INV-020,created,596ba002-93da-4bc0-b5e6-bad027c7b2d8,RNT-202605-00003,185000,DRAFT,Created via sync-erp MCP
SL-INV-025,created,dbf8858f-bf71-422d-8e95-e3c783a8d048,RNT-202605-00004,105000,DRAFT,Created via sync-erp MCP
SL-INV-021,created,8076ae6c-55de-41dd-ab2c-483d206a7e0f,RNT-202605-00005,125000,DRAFT,Created via sync-erp MCP
SL-INV-013,created,d2759265-fbb5-4e57-86c7-f8ca0a1a9042,RNT-202605-00006,90000,DRAFT,Created via sync-erp MCP
SL-INV-017,created,40eea55f-c323-47c1-a3e5-0c356197f29c,RNT-202605-00007,200000,DRAFT,Created via sync-erp MCP
SL-INV-018,created,ef9902fc-c14c-441f-bfff-e84fb3ef74f5,RNT-202605-00008,135000,DRAFT,Created via sync-erp MCP
SL-INV-027,created,42da92e2-9985-4c14-839f-e1dc82c39e2f,RNT-202605-00009,375000,DRAFT,Created via sync-erp MCP
SL-INV-011,created,64c41b54-e5f7-412b-bc9e-f02f6fac9019,RNT-202605-00010,150000,DRAFT,Created via sync-erp MCP
SL-INV-014,created,6c0ff944-5a24-4230-b53e-d55debecc4b8,RNT-202605-00011,90000,DRAFT,Created via sync-erp MCP
SL-INV-015,created,7fb8a5f1-b835-4532-b8a0-af6a6c47c894,RNT-202605-00012,235000,DRAFT,Created via sync-erp MCP
SL-INV-012,created,30c58125-08c5-4ea3-a724-b8b76df0b738,RNT-202605-00013,186000,DRAFT,Created via sync-erp MCP
SL-INV-006,created,76a2c759-3bd0-4cd8-99c8-83bb0efc52f2,RNT-202605-00014,369000,DRAFT,Created via sync-erp MCP
SL-INV-016,created,3b09b0da-f6eb-42dd-b3b3-0c75473a187d,RNT-202605-00015,300000,DRAFT,Created via sync-erp MCP
SL-INV-007,created,6d07a318-94bb-40eb-8fe7-292626ba39f8,RNT-202605-00016,94000,DRAFT,Created via sync-erp MCP
SL-INV-004,created,6f35ccd1-00ac-41ed-99aa-22d928971135,RNT-202605-00017,430000,DRAFT,Created via sync-erp MCP
SL-INV-002,created,7f00d04a-a557-4a39-aff6-5a919f467847,RNT-202605-00018,100000,DRAFT,Created via sync-erp MCP
SL-INV-010,created,97d0beeb-a591-4370-81fb-c22a691260b6,RNT-202605-00019,355000,DRAFT,Created via sync-erp MCP
SL-INV-030,created,b159e97d-4cea-4e95-9e2f-ae034a4916be,RNT-202605-00020,745000,DRAFT,Created via sync-erp MCP
SL-INV-008,created,4a49afaa-3b8e-413f-90cf-97436ac9b352,RNT-202605-00021,196000,DRAFT,Created via sync-erp MCP
SL-INV-001,created,dd6df491-8a23-4182-87fa-87115d0324ff,RNT-202605-00022,315000,DRAFT,Created via sync-erp MCP
SL-INV-003,created,0b81d1b7-5318-49ac-a40d-bc05e390ffc1,RNT-202605-00023,430000,DRAFT,Created via sync-erp MCP
SL-INV-009,created,b2b737a5-94de-4e80-b636-5b873a152358,RNT-202605-00024,965000,DRAFT,Created via sync-erp MCP
SL-INV-019,created,3bf9ca99-0329-4ea5-98a0-6572c8071276,RNT-202605-00025,810000,DRAFT,Created via sync-erp MCP
SL-INV-005,created,2f7e9614-8d93-4fd3-9e35-e4218306cd71,RNT-202605-00026,482000,DRAFT,Created via sync-erp MCP
