purchase_group,transaction_date,supplier,supplier_document,source_chats,source_message_ids,item_name,size_cm,color,quantity,unit_price_idr,total_idr,amount_basis,confidence,evidence_files,notes
P001,2026-01-29,Santi Mebel Godean,Sales Order #28686,Sales Olshop Santi Mebel msg 32135-32445; INTERNAL Santi Living msg 32434-32447,"32135,32136,32138,32141,32157,32158,32159,32161,32162,32250,32434,32445,32447",Royal Grand Exclusive (RGE),90x200,biru,1,500860,500860,invoice_exact,confirmed,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/evidence/whatsapp-santi-living-purchases-2026-05-24/Sales-Order-28686-whatsapp.pdf,"PDF text says 90cm Merah, but user clarified actual mattresses should be recorded blue. WhatsApp context says grand 90 available, HPP/nota requested, and SO #28686 attached."
P002,2026-02-13,Santi Mebel Godean,Sales Order #28997,Admin 2 Sales Santi Mebel msg 41372-42317; Jimas R msg 41368-41401; Bintang Display msg 42340-42557,"41368,41372,41373,41385,41386,41397,41423,41424,41435,41961,41980,42120,42123,42317,42340,42556,42557",Royal Grand Exclusive (RGE),100x200,biru,4,590040,2360160,invoice_exact,confirmed,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/evidence/whatsapp-santi-living-purchases-2026-05-24/Sales-Order-28997-whatsapp.pdf,"SO #28997 line item: Kasur Busa Royal Grand Exclusive 100cm Biru, 4 pcs."
P002,2026-02-13,Santi Mebel Godean,Sales Order #28997,Admin 2 Sales Santi Mebel msg 41372-42317; Jimas R msg 41368-41401; Bintang Display msg 42340-42557,"41368,41372,41373,41385,41386,41397,41423,41424,41435,41961,41980,42120,42123,42317,42340,42556,42557",Royal Grand Exclusive (RGE),160x200,biru,2,869417,1738834,invoice_exact,confirmed,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/evidence/whatsapp-santi-living-purchases-2026-05-24/Sales-Order-28997-whatsapp.pdf,"SO #28997 line item: Kasur Busa Royal Grand Exclusive 160cm Biru, 2 pcs."
P003,2026-02-14,Santi Mebel Berjo/Godean,,Yulia Santi Mebel Salis msg 43573-43709; INTERNAL Santi Living msg 44716-44825; Bintang Display msg 44599,"43573,43615,43616,43633,43709,44599,44716,44719,44717,44795,44807,44808,44809",Royal Grand Exclusive (RGE),160x200,biru,4,790379,3161516,hpp_estimate_from_msg_48334,quantity_confirmed_amount_estimated,,Physical pickup confirmed by Yulia: Grand 160 biru 4. No downloaded invoice found; price uses later HPP reference from Sales Olshop msg 48334.
P003,2026-02-14,Santi Mebel Berjo/Godean,,Yulia Santi Mebel Salis msg 43573-43709; INTERNAL Santi Living msg 44716-44825; Bintang Display msg 44599,"43573,43615,43616,43633,43709,44599,44716,44719,44717,44795,44807,44808,44809",Royal Grand Exclusive (RGE),120x200,biru,2,628724,1257448,hpp_estimate_from_msg_48334,quantity_confirmed_amount_estimated,,Physical pickup confirmed by Yulia: Grand 120 biru 2. No downloaded invoice found; price uses later HPP reference from Sales Olshop msg 48334.
P004,2026-03-19,Santi Mebel Berjo/Godean,Sales Invoice #62205,Admin Santi Mebel Berjo msg 68526-68616; Jingga AR Santi Mebel msg 68610-68640; mas ghana msg 68601-68749,"68526,68527,68539,68543,68569,68578,68580,68595,68601,68604,68605,68610,68611,68624,68627,68628,68640,68747,68749",Royal Grand Exclusive (RGE),120x200,biru,4,628724,2514896,invoice_thumbnail_exact,confirmed,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/evidence/whatsapp-santi-living-purchases-2026-05-24/Sales-Invoice-62205-thumb.jpg,"Purchase confirmed: user wrote ambil kasur 4 lembar ukuran 120 RGE, Ghana asked cash, invoice #62205 referenced, and payment marked lunas. Full invoice media URL expired, but WhatsApp thumbnail shows 4 pcs RGE 120 and total consistent with unit price 628.724."
P005,2026-04-03,Santi Mebel Berjo/Godean,Sales Invoice #63002,Sales Olshop Santi Mebel msg 80315-80470; Jimas R msg 80420-80434; Kiriman bukti transfer msg 80480,"80315,80318,80420,80429,80430,80469,80470,80480",Royal Grand Exclusive (RGE),90x200,biru,2,567000,1134000,chat_and_jurnal_exact,confirmed,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/evidence/whatsapp-santi-living-purchases-2026-05-24/Sales-Invoice-63002-thumb.jpg,"Sales Olshop says Grand 90 2 unit at 567rb; Jurnal entry says nama Doni, barang grand 90, jumlah 1.134.000. Full invoice media URL expired, but WhatsApp thumbnail confirms invoice #63002, date 03-04-2026, 2 pcs RGE 90 Biru, total 1.134.000."
P006,2026-04-18,Santi Mebel Berjo/Godean,,Sales Olshop Santi Mebel msg 92161-92286; mas ghana msg 92183-92204; INTERNAL Santi Living msg 92287-92289; Sales Olshop delivery msg 96095-96247,"92161,92162,92177,92183,92197,92210,92211,92222,92223,92225,92226,92262,92263,92264,92266,92267,92270,92280,92286,92287,92289,96095,96240,96242",Royal Grand Exclusive (RGE),90x200,biru,1,684000,684000,chat_exact,confirmed,,"User said jadi beli 90 1 item, 100 1 item; Sales Olshop confirmed total 1.616 including 3 bantal springback. Apr 23 delivery confirmation says grand 90 biru 1 unit and grand 100 biru 1 unit."
P006,2026-04-18,Santi Mebel Berjo/Godean,,Sales Olshop Santi Mebel msg 92161-92286; mas ghana msg 92183-92204; INTERNAL Santi Living msg 92287-92289; Sales Olshop delivery msg 96095-96247,"92161,92162,92177,92183,92197,92210,92211,92222,92223,92225,92226,92262,92263,92264,92266,92267,92270,92280,92286,92287,92289,96095,96240,96242",Royal Grand Exclusive (RGE),100x200,biru,1,782000,782000,chat_exact,confirmed,,"User said jadi beli 90 1 item, 100 1 item; Sales Olshop confirmed total 1.616 including 3 bantal springback. Apr 23 delivery confirmation says grand 90 biru 1 unit and grand 100 biru 1 unit."
P007,2026-05-14,Santi Mebel Godean,Sales Invoice #65396,Sales Olshop Santi Mebel msg 121887-121972; Fahri pribadi Marketing msg 121886-121932; Kiriman bukti transfer msg 122036,"121887,121896,121897,121905,121908,121919,121925,121926,121929,121943,121951,121958,121971,121972,121886,121890,121899,121917,121923,121924,121930,121931,121932,122036",Royal Grand Exclusive (RGE),100x200,biru,1,793000,793000,whatsapp_chat_and_invoice_exact,confirmed,/Users/wecik/Documents/Offline/Professional/Coding/sync-erp/storage/imports/evidence/whatsapp-santi-living-purchases-2026-05-24/Sales-Invoice-65396-whatsapp.pdf,"May 14 WhatsApp chat: user asked to buy grand exclusive 100; Sales Olshop asked '1 tok ya?' and user answered 'Betull'; WhatsApp PDF invoice title is Sales Invoice-65396; Kiriman bukti transfer says nama: doni, barang: grand exclusive 100, jumlah 793.000, bank BCA."
