purchase_ref,date,items,purchase_total_idr,payment_basis_amount_idr,payment_bucket,confidence,evidence_chats,evidence_message_ids,evidence_files,reason
P001,2026-01-29,"RGE 90 biru 1 x 500860",500860,469409,payroll_installment_loan,high,"Sales Olshop Santi Mebel; Fajar Sudrajad HRD; mas ghana","32135;32136;32138;32141;32157;32158;32159;32161;32162;32250;32434;32445;32447;46094;48334;49244;49245;49252","storage/imports/whatsapp-fajar-sudrajad-hrd-export-2026-05-25/media/msg-49244-51357657-d2f3-41b9-8c82-3e47814e6af2.jpg","Included in Fajar/Jurnal 4-invoice loan total. Payment basis uses special HPP price grand 90 Rp469.409 from msg 48334 and the hidden fourth invoice implied by the Rp9.553.331 Jurnal outstanding total; this differs from the original SO baseline Rp500.860."
P002,2026-02-13,"RGE 100 biru 4; RGE 160 biru 2; Bantal Springback 7",4518994,4076358,payroll_installment_loan,high,"Admin 2 Sales Santi Mebel; Jimas R; Bintang Display; mas ghana; Fajar Sudrajad HRD","41368;41372;41373;41385;41386;41397;41423;41424;41435;41961;41980;42120;42123;42317;42340;42556;42557;46094;48334;49244;49245;49252","storage/imports/whatsapp-fajar-sudrajad-hrd-export-2026-05-25/media/msg-49244-51357657-d2f3-41b9-8c82-3e47814e6af2.jpg","Included in Fajar/Jurnal loan. Screenshot msg 49244 shows Sales Invoice #60333 Rp4.076.358; it matches special HPP: 4x grand 100 Rp536.400 + 2x grand 160 Rp790.379 + 7x springback Rp50.000."
P003,2026-02-14,"RGE 160 biru 4; RGE 120 biru 2; Bantal Springback 2; Bantal Comfy 7; Bantal Royal King 1",4848964,4827564,payroll_installment_loan,high,"Yulia Santi Mebel Salis; INTERNAL Santi Living; Bintang Display; mas ghana; Fajar Sudrajad HRD","43573;43615;43616;43633;43709;44599;44716;44719;44717;44795;44807;44808;44809;46094;48334;49244;49245;49252","storage/imports/whatsapp-fajar-sudrajad-hrd-export-2026-05-25/media/msg-49244-51357657-d2f3-41b9-8c82-3e47814e6af2.jpg","Included in Fajar/Jurnal loan. Screenshot msg 49244 shows Sales Invoice #60336 Rp4.827.564; it matches special HPP: 4x grand 160 Rp790.379 + 2x grand 120 Rp628.724 + 2x springback Rp50.000 + 7x comfy Rp40.000 + 1x royal king Rp28.600."
BG003,2026-02-20,"Guling Comfy 4 x 45000",180000,180000,payroll_installment_loan,high,"Admin 2 Sales Santi Mebel; INTERNAL Santi Living; Sales Olshop Santi Mebel; Fahri pribadi Marketing; Fajar Sudrajad HRD","45500;45509;45511;48272;48320;48334;49244;49245;49252;49290;49292;49297;51499;46094","storage/imports/whatsapp-fajar-sudrajad-hrd-export-2026-05-25/media/msg-49244-51357657-d2f3-41b9-8c82-3e47814e6af2.jpg","Included in Fajar/Jurnal loan. Screenshot msg 49244 shows Sales Invoice #60074 Rp180.000 and the direct Fajar chat confirms this debt was being split into payroll deductions."
P004,2026-03-19,"RGE 120 biru 4; Bantal Comfy 9",2874896,2874896,cash/lunas,high,"Admin Santi Mebel Berjo; Jingga AR Santi Mebel; mas ghana","68526;68527;68539;68543;68569;68578;68580;68595;68601;68604;68605;68610;68611;68624;68627;68628;68640;68668;68681;68747;68749","storage/imports/evidence/whatsapp-santi-living-purchases-2026-05-24/Sales-Invoice-62205-thumb.jpg","CSV evidence says Ghana asked cash, invoice #62205 referenced, and payment marked lunas; this overrides current ERP open-credit note."
BG005,2026-03-23,"Bantal Royal King 4 x 28600",114400,114400,cash/lunas,high,"Farid iPhone; Sales Olshop Santi Mebel; Kiriman bukti transfer","71198;71201;71227;71229;71290;71442;71470;72405","","Transfer/Jurnal line says Nama Doni, Barang bantal royal king, Jumlah Rp114.400."
P005,2026-04-03,"RGE 90 biru 2 x 567000",1134000,1134000,cash/lunas,high,"Sales Olshop Santi Mebel; Jimas R; Kiriman bukti transfer","80315;80318;80420;80429;80430;80469;80470;80480","storage/imports/evidence/whatsapp-santi-living-purchases-2026-05-24/Sales-Invoice-63002-thumb.jpg","Jurnal entry says nama Doni, barang grand 90, jumlah Rp1.134.000; invoice #63002 thumbnail confirms item and total."
P006,2026-04-18,"RGE 90 biru 1; RGE 100 biru 1; Bantal Springback 3",1616000,1616000,cash/lunas,high,"Sales Olshop Santi Mebel; mas ghana; INTERNAL Santi Living; Sales Olshop delivery","92161;92162;92177;92183;92197;92210;92211;92222;92223;92225;92226;92262;92263;92264;92266;92267;92270;92280;92286;92287;92289;92474;92508;96095;96240;96242","storage/imports/santi-living-payment-final-2026-05-25/evidence/jago_transfer_p006_msg_92508.jpg","Purchase and delivery are confirmed. Payment proof found in Sales Olshop msg 92508: Jago transfer Rp1.616.000 on 2026-04-19 07:57 WIB, transfer ID 260419SYATIDJ100005822, note kasur 2 bantal 3."
BG007,2026-05-06,"Bantal Springback 8 x 50000",400000,400000,cash/lunas,high,"Sales Olshop Santi Mebel; Kiriman bukti transfer; Rani Santi Mebel; Fahri pribadi Marketing","110053;110060;110067;110082;112171;113025;113034;113039;121914","","Jurnal/transfer says Bantal Springback 8 / Rp400.000; user clarified bantal saja."
P007,2026-05-14,"RGE 100 biru 1 x 793000",793000,793000,cash/lunas,high,"Sales Olshop Santi Mebel; Fahri pribadi Marketing; Kiriman bukti transfer","121887;121896;121897;121905;121908;121919;121925;121926;121929;121943;121951;121958;121971;121972;121886;121890;121899;121917;121923;121924;121930;121931;121932;122036","storage/imports/evidence/whatsapp-santi-living-purchases-2026-05-24/Sales-Invoice-65396-whatsapp.pdf","Invoice #65396 and Kiriman bukti transfer say nama Doni, barang grand exclusive 100, jumlah Rp793.000, bank BCA."
