chat_id,chat_name,message_id,message_at,is_from_me,push_name,keywords,text,media_title,media_path
556,Fahri pribadi Marketing,766,2025-09-02 10:53:35,0,IAA=,admin,Lewat WA admin don aku ra nyimpen no rekening toko,,
556,Fahri pribadi Marketing,15738,2026-01-04 18:55:39,1,CLyq6coGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA=,kasur; busa,aku meh takon bab kasur busa,,
556,Fahri pribadi Marketing,15758,2026-01-04 18:59:46,1,CLOs6coGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA=,kasur; busa; so; bayar,"nek andang andang sesuk aku perlu 10 kasur busa, iso bayar cicil ora ri",,
556,Fahri pribadi Marketing,15760,2026-01-04 18:59:51,1,CLes6coGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA=,kasur,aku meh buka sewa kasur,,
556,Fahri pribadi Marketing,15762,2026-01-04 19:01:01,0,CP2s6coGIABIAZABAPABAg==,ghana; bayar,Nah nk bayar cicil bisa pengajuan ng Ghana Hendra wkwkw,,
556,Fahri pribadi Marketing,15765,2026-01-04 19:01:45,0,CKmt6coGIABIAZABAPABAg==,kasur,Gas lagi rodo rame juga kui sewa kasur,,
556,Fahri pribadi Marketing,17330,2026-01-07 13:43:45,0,CKGB+MoGIABIAZABAPABAg==,admin,Ws takon ng admin kui wkwkw,,
556,Fahri pribadi Marketing,33453,2026-01-30 18:05:28,1,CPig8ssGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ==,nota; so,Iki meh tak bathi semene yo.. ngko notane semono iso to?,,
556,Fahri pribadi Marketing,33397,2026-01-30 18:06:29,0,CLWh8ssGIABIAZABAPABAg==,nota,Notane tak gawe iki Nggko tagih an e ng nggonmu 2.2 kan?,,
556,Fahri pribadi Marketing,33490,2026-01-30 18:06:49,1,CMmh8ssGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ==,nota,Bikin nota sendiri?,,
556,Fahri pribadi Marketing,33465,2026-01-30 18:07:09,1,CN2h8ssGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ==,nota; bayar,Hoo karo aku digawe nota sing ra tak bayar,,
556,Fahri pribadi Marketing,33410,2026-01-30 18:08:03,0,CJOi8ssGIABIAZABAPABAg==,nota,"Kabar2 wae, nk ra njaluk gawekke nota farid yo ws mudeng",,
556,Fahri pribadi Marketing,33627,2026-01-31 08:20:46,1,CO6x9csGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ==,nota; tf,Koncoku tolong digawekke nota sing di tf iki *2.393.000*,,
556,Fahri pribadi Marketing,44478,2026-02-15 19:12:42,1,CLrwxswGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ==,kasur; santi living; santi mebel,https://maps.app.goo.gl/v2vWX8nYz1opMF5c6?g_st=iw Dab mbok nyuwun review boleh dongg,"Sewa Kasur Gratis Ongkir – Santi Living | by Santi Mebel Jogja · Sleman Regency, Special Region of Yogyakarta",
556,Fahri pribadi Marketing,49296,2026-02-23 09:44:47,1,CKD+7swGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA=,fahri,halo pak fahri,,
556,Fahri pribadi Marketing,51004,2026-02-25 14:27:32,1,COTI+swGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ==,fahri,Pak fahri,,
556,Fahri pribadi Marketing,67946,2026-03-19 07:42:52,1,CIyN7c0GGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ==,kasur; beli,Mau beli 4 kasur 120,,
556,Fahri pribadi Marketing,67947,2026-03-19 07:42:52,1,CIyN7c0GGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ==,royal grand,Royal grand kyk kemarin,,
556,Fahri pribadi Marketing,68317,2026-03-19 13:00:05,1,COWh7s0GGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIAA6FDNBRDNGMERGM0M3MUU1MEJBQzY1QPHouaXQM0gBeJHyuaXQM5ABAPABAQ==,kasur; invoice; beli,Minta tolong dibuatkan invoice pembelian ini ya: • Kasur 120x200 4pcs = Rp628.724 • Bantal Springback 9pcs = Rp50.000 Total = 2.514.896 + 450.000 = 2.964.896,,
556,Fahri pribadi Marketing,68506,2026-03-19 14:29:17,1,CM3L7s0GGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ==,admin,Pak ini kata admin gamping ora ono,,
556,Fahri pribadi Marketing,68551,2026-03-19 14:36:59,0,CJvP7s0GIABIAZABAPABAg==,busa,Nk busane ng pathukan,,
